company_id,year,return_on_equity_pct,return_on_capital_employed_pct,net_profit_margin_pct,operating_profit_margin_pct,debt_to_equity,interest_coverage,asset_turnover,sales,net_profit,eps,dividend_payout,net_cash_flow,market_cap_crore,pe_ratio,pb_ratio,dividend_yield_pct,broad_sector,peer_group_name,composite_quality_score
INDIGO,2013.0,17886.363636363636,0.0,8.551559274149733,90.7095512332935,2.5,28.23310810810811,353.96153846153845,9203.0,787.0,25647.0,70.0,-113.0,,,,,Consumer Discretionary,,0
BEL,2015.0,17100.0,0.0,16.875793035387,16.622021711546594,3.7142857142857144,240.85714285714286,144.75510204081633,7093.0,1197.0,2.0,20.0,386.0,,,,,Industrials,,0
BEL,2013.0,15183.333333333334,0.0,14.522556990275785,10.664753706360592,4.0,184.42857142857142,139.4,6273.0,911.0,1.0,20.0,56.0,,,,,Industrials,,0
BEL,2014.0,13600.0,0.0,14.605707272169377,14.191469776004908,3.0,194.71428571428572,141.69565217391303,6518.0,952.0,1.0,20.0,-23.0,,,,,Industrials,,0
BEL,2016.0,11141.666666666668,0.0,18.18058199619255,18.94207234158281,2.0833333333333335,196.6,141.42307692307693,7354.0,1337.0,2.0,31.0,472.0,,,,,Industrials,,0
INDIGO,2014.0,10772.727272727272,0.0,4.263740217684627,96.10506431591257,3.1818181818181817,27.335038363171357,317.62857142857143,11117.0,474.0,15454.0,80.0,-34.0,,,,,Consumer Discretionary,,0
BEL,2017.0,10153.333333333334,0.0,17.594731977818853,20.70240295748614,1.9333333333333333,122.88888888888889,112.41558441558442,8656.0,1523.0,2.0,33.0,197.0,,,,,Industrials,,0
INDIGO,2015.0,4939.39393939394,0.0,9.364452423698385,86.33393177737881,0.15151515151515152,30.470886075949366,228.27868852459017,13925.0,1304.0,42481.0,83.0,136.0,,,,,Consumer Discretionary,,0
BEL,2024.0,4744.047619047619,0.0,19.661535425300965,24.921057825143084,0.5119047619047619,476.75,125.88819875776397,20268.0,3985.0,5.0,40.0,-2739.0,1354781.06,17.89,9.22,0.76,Industrials,,0
BEL,2018.0,4616.129032258064,0.0,13.758292471877704,19.603884241899816,1.5483870967741935,372.5,85.95867768595042,10401.0,1431.0,2.0,34.0,-1895.0,,,,,Industrials,,0
BEL,2023.0,3981.333333333333,0.0,16.837712867937295,23.063042742754032,0.52,230.05263157894737,123.15277777777777,17734.0,2986.0,4.0,44.0,2645.0,1055965.69,18.0,12.66,4.22,Industrials,,0
BEL,2019.0,3851.020408163265,0.0,15.512989148306477,23.914830647813222,0.9591836734693877,186.375,96.53968253968254,12164.0,1887.0,3.0,44.0,-45.0,770752.45,73.48,7.9,4.11,Industrials,,0
HAL,2024.0,3816.5829145728644,0.0,24.999177117277245,32.08913465652875,0.6180904522613065,270.8837209302326,67.51333333333334,30381.0,7595.0,114.0,31.0,-185.0,2643616.86,71.89,3.65,2.77,Industrials,,0
BEL,2021.0,3559.322033898305,0.0,14.88411652136934,22.779785952229073,0.8305084745762712,333.9,92.82236842105263,14109.0,2100.0,3.0,46.0,1422.0,901058.99,52.67,6.64,1.81,Industrials,,0
BEL,2022.0,3478.260869565217,0.0,15.616866215512754,21.759500260281104,0.8405797101449275,397.3333333333333,94.28220858895706,15368.0,2400.0,3.0,46.0,-1742.0,1143459.9,72.89,7.89,4.49,Industrials,,0
HAL,2022.0,3324.183006535948,0.0,20.65800162469537,22.014622258326565,0.0784313725490196,98.55384615384615,121.88118811881188,24620.0,5086.0,76.0,26.0,-4072.0,1722334.17,51.22,8.86,0.93,Industrials,,0
BEL,2020.0,3318.181818181818,0.0,14.073103022825418,21.275447254781,0.8,357.25,106.29508196721312,12968.0,1825.0,3.0,37.0,861.0,902791.12,59.94,4.28,3.79,Industrials,,0
HAL,2023.0,3283.050847457627,0.0,21.57976827094474,24.766042780748663,0.2655367231638418,130.328125,99.36531365313652,26928.0,5811.0,87.0,32.0,1370.0,2122373.86,11.8,2.43,3.62,Industrials,,0
HAL,2021.0,2249.3055555555557,0.0,14.155231186085132,23.341491128397866,0.041666666666666664,21.352059925093634,123.02150537634408,22882.0,3239.0,48.0,31.0,6864.0,1800174.45,8.56,2.01,0.38,Industrials,,0
INDIGO,2018.0,2242.0,0.0,9.738934016767299,86.8381043395161,0.54,21.123548046462513,82.51254480286738,23021.0,2242.0,58.0,10.0,518.0,,,,,Consumer Discretionary,,0
HAL,2020.0,2059.4202898550725,0.0,13.252506411750991,22.75588715318256,0.014492753623188406,14.749303621169917,123.95953757225433,21445.0,2842.0,42.0,39.0,266.0,1369023.45,68.18,9.05,4.15,Industrials,,0
HAL,2017.0,1966.9172932330828,0.0,14.573816155988858,18.027855153203344,0.015037593984962405,267.5,105.58823529411765,17950.0,2616.0,36.0,31.0,2433.0,,,,,Industrials,,0
HAL,2019.0,1763.9097744360904,0.0,11.72530987604958,22.835865653738505,0.06015037593984962,27.937853107344633,114.33142857142857,20008.0,2346.0,35.0,28.0,-80.0,1180468.36,56.05,13.51,3.11,Industrials,,0
INDIGO,2017.0,1692.8571428571427,0.0,8.928955866523143,88.06243272335846,0.5306122448979592,20.752851711026615,75.52845528455285,18580.0,1659.0,46.0,74.0,-652.0,,,,,Consumer Discretionary,,0
HAL,2016.0,1664.9999999999998,0.0,11.92266380236305,14.786967418546364,0.15,679.3333333333334,95.2159090909091,16758.0,1998.0,28.0,31.0,,,,,,Industrials,,0
