company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,return_on_assets_pct,return_on_capital_employed_pct,quality_score,quality_rank
INDIGO,2013.0,8.551559274149733,90.7095512332935,17886.363636363636,2.5,28.23310810810811,353.96153846153845,3026.923076923077,0.0,20921.838272560864,1.0
BEL,2015.0,16.875793035387,16.622021711546594,17100.0,3.7142857142857144,240.85714285714286,144.75510204081633,2442.8571428571427,0.0,19559.732935892527,1.0
BEL,2013.0,14.522556990275785,10.664753706360592,15183.333333333334,4.0,184.42857142857142,139.4,2024.4444444444443,0.0,17222.300334768053,2.0
BEL,2014.0,14.605707272169377,14.191469776004908,13600.0,3.0,194.71428571428572,141.69565217391303,2069.5652173913045,0.0,15684.170924663473,1.0
BEL,2016.0,18.18058199619255,18.94207234158281,11141.666666666668,2.0833333333333335,196.6,141.42307692307693,2571.153846153846,0.0,13731.001094816706,1.0
BEL,2017.0,17.594731977818853,20.70240295748614,10153.333333333334,1.9333333333333333,122.88888888888889,112.41558441558442,1977.922077922078,0.0,12148.85014323323,1.0
INDIGO,2014.0,4.263740217684627,96.10506431591257,10772.727272727272,3.1818181818181817,27.335038363171357,317.62857142857143,1354.2857142857142,0.0,12131.27672723067,2.0
BEL,2024.0,19.661535425300965,24.921057825143084,4744.047619047619,0.5119047619047619,476.75,125.88819875776397,2475.1552795031057,0.0,7238.864433976026,1.0
INDIGO,2015.0,9.364452423698385,86.33393177737881,4939.39393939394,0.15151515151515152,30.470886075949366,228.27868852459017,2137.7049180327867,0.0,7086.4633098504255,2.0
BEL,2023.0,16.837712867937295,23.063042742754032,3981.333333333333,0.52,230.05263157894737,123.15277777777777,2073.611111111111,0.0,6071.782157312381,1.0
HAL,2022.0,20.65800162469537,22.014622258326565,3324.183006535948,0.0784313725490196,98.55384615384615,121.88118811881188,2517.8217821782177,0.0,5862.662790338862,1.0
BEL,2018.0,13.758292471877704,19.603884241899816,4616.129032258064,1.5483870967741935,372.5,85.95867768595042,1182.6446280991736,0.0,5812.531952829116,1.0
HAL,2024.0,24.999177117277245,32.08913465652875,3816.5829145728644,0.6180904522613065,270.8837209302326,67.51333333333334,1687.7777777777776,0.0,5529.359869467919,2.0
HAL,2023.0,21.57976827094474,24.766042780748663,3283.050847457627,0.2655367231638418,130.328125,99.36531365313652,2144.280442804428,0.0,5448.911058532999,2.0
BEL,2019.0,15.512989148306477,23.914830647813222,3851.020408163265,0.9591836734693877,186.375,96.53968253968254,1497.6190476190477,0.0,5364.15244493062,1.0
BEL,2022.0,15.616866215512754,21.759500260281104,3478.260869565217,0.8405797101449275,397.3333333333333,94.28220858895706,1472.3926380368098,0.0,4966.270373817539,2.0
